drone_model, specification, value, comments
Husky, Plage de température opérationnelle, -20 à 40, $$Pour diverses conditions climatiques.$$
Black Hornet PRS, Divers, Nano-drone aérien, $$Pour la reconnaissance militaire et la surveillance.$$
Black Hornet PRS, Autonomie d'opération, 25, $$Opérations courtes de reconnaissance.$$
Black Hornet PRS, Poids, 0.033, $$Extrêmement léger pour une discrétion maximale.$$
Black Hornet PRS, Vitesse maximum, 5, $$Vitesse optimale pour des missions de reconnaissance.$$
Black Hornet PRS, Portée de communication, 2, $$Communication stable avec la station de commande.$$
Black Hornet PRS, Divers, Caméra couleur et thermique, $$Double capteur pour des opérations diurnes et nocturnes.$$
Black Hornet PRS, Longueur, 0.168, $$Taille compacte pour une portabilité maximale.$$
Black Hornet PRS, Largeur, 0.084, $$Taille compacte pour une portabilité maximale.$$
Black Hornet PRS, Hauteur, 0.003, $$Taille compacte pour une portabilité maximale.$$
Black Hornet PRS, Système d'exploitation, Propriétaire, $$Optimisé pour les besoins militaires.$$
Black Hornet PRS, Divers, Mode de vol semi-autonome, $$Peut être piloté manuellement ou suivre des waypoints.$$
Black Hornet PRS, Système de navigation, GPS, $$Intégré pour une navigation précise.$$
Spot, Divers, Robot terrestre, $$Pour l'inspection et la cartographie de terrains difficiles.$$
Spot, Autonomie d'opération, 90, $$Batterie interchangeable pour une utilisation continue.$$
Spot, Vitesse maximum, 1.6, $$Navigation précise dans divers environnements.$$
Spot, Poids, 33, $$Conception robuste pour une durabilité maximale.$$
Spot, Plage de température opérationnelle, -20 à 45, $$Conçu pour fonctionner dans diverses conditions.$$
Spot, Divers, Système de navigation avec vision par ordinateur, $$Utilise des caméras pour éviter les obstacles.$$
Spot, Capacité de charge, 14, $$Pour transporter différents équipements.$$
Spot, Longueur, 1.0, $$Conception compacte pour une manœuvrabilité optimale.$$
Spot, Largeur, 0.5, $$Conception compacte pour une manœuvrabilité optimale.$$
Spot, Hauteur, 0.3, $$Conception compacte pour une manœuvrabilité optimale.$$
Spot, Connectivité, Wi-Fi et Bluetooth, $$Options flexibles pour le contrôle et la communication.$$
Spot, Divers, Mode d'opération autonome ou téléopéré, $$Peut être piloté à distance ou suivre des trajectoires programmées.$$
Dolphin 1, Divers, Véhicule marin sans pilote, $$Pour la surveillance et le sauvetage.$$
Dolphin 1, Autonomie d'opération, 2, $$Opérations marines prolongées.$$
Dolphin 1, Vitesse maximum, 3.6, $$Navigation rapide pour le sauvetage.$$
Dolphin 1, Poids, 13, $$Conception équilibrée pour une stabilité maximale dans l'eau.$$
Dolphin 1, Divers, Système de propulsion à jet d'eau, $$Propulsion efficace et sûre.$$
Dolphin 1, Portée de communication, 0.500, $$Distance sécurisée entre l'opérateur et le drone.$$
Dolphin 1, Charge utile maximum, Un humain, $$Peut être déployée en cas de nécessité pour le sauvetage à titre de boué de sauvetage.$$
Dolphin 1, Divers, Mode d'opération téléopéré, $$Piloté à distance par un opérateur.$$
Dolphin 1, Communication, Radiofréquence, $$Pour une communication fiable avec la station de commande.$$
Dolphin 1, Capteurs, Caméra frontale, $$Pour la reconnaissance et la surveillance.$$
Blueye Pioneer, Divers, Drone sous-marin, $$Conçu pour les inspections et observations marines.$$
Blueye Pioneer, Autonomie d'opération, 2, $$Durée d'opération prolongée sous l'eau.$$
Blueye Pioneer, Profondeur maximum, 150, $$Peut descendre à des profondeurs importantes pour des explorations sous-marines.$$
Blueye Pioneer, Vitesse maximum, 2, $$Optimisé pour l'exploration sous-marine.$$
Blueye Pioneer, Poids, 9, $$Conception compacte pour une portabilité facile.$$
Blueye Pioneer, Résolution caméra, Full HD, $$Capture des vidéos et des images de haute qualité sous l'eau.$$
Blueye Pioneer, Divers, Système d'éclairage à LEDs puissantes, $$Permet une visibilité claire dans des conditions sous-marines sombres.$$
Blueye Pioneer, Divers, Mode d'opération téléopéré, $$Commandé à distance via une application ou une station de commande.$$
Blueye Pioneer, Connectivité, Wi-Fi pour contrôle à surface, $$Permet une communication entre le drone et l'opérateur en surface.$$
Blueye Pioneer, Longueur, 0.5, $$Taille optimisée pour une manœuvrabilité sous-marine.$$
Blueye Pioneer, Largeur, 0.35, $$Taille optimisée pour une manœuvrabilité sous-marine.$$
Blueye Pioneer, Hauteur, 0.25, $$Taille optimisée pour une manœuvrabilité sous-marine.$$
Blueye Pioneer, Divers, Structure robuste et résistante à la corrosion, $$Fabriqué pour résister aux conditions marines salines.$$
DTG3, Divers, ROV sous-marin, $$Conçu pour les inspections sous-marines et la recherche.$$
DTG3, Profondeur maximum, 200, $$Conçu pour des explorations sous-marines profondes.$$
DTG3, Autonomie d'opération, 8, $$Opérations prolongées sous l'eau.$$
DTG3, Vitesse maximum, 2.5, $$Navigation optimisée pour l'exploration sous-marine.$$
DTG3, Poids, 8.5, $$Facile à déployer et à transporter.$$
DTG3, Résolution caméra, Full HD avec zoom, $$Capture des images et vidéos claires sous l'eau.$$
DTG3, Divers, Système d'éclairage avec LEDs réglables, $$Éclairage pour une visibilité claire dans les environnements sombres.$$
DTG3, Divers, Propulsion à 4 propulseurs, $$Manœuvrabilité optimale dans toutes les directions.$$
DTG3, Divers, Mode d'opération téléopéré, $$Piloté à distance avec une station de commande.$$
DTG3, Connectivité, Tethered (câblé), $$Utilise un câble pour la communication et l'alimentation.$$
DTG3, Divers, Matériaux : aluminium et acier inoxydable, $$Résistance à la corrosion pour les opérations marines.$$
Phantom 4 RTK, Autonomie d'opération, 30, $$Adapté pour la cartographie de grandes zones.$$
Phantom 4 RTK, Précision de positionnement, 1, $$Grâce à la technologie RTK intégrée.$$
Phantom 4 RTK, Résolution caméra, 20, $$Pour une capture d'image haute résolution.$$
Phantom 4 RTK, Vitesse maximum, 31, $$Vitesse en mode sport.$$
Phantom 4 RTK, Poids, 1.391, $$Incluant la batterie et les hélices.$$
Phantom 4 RTK, Système anticollision, Oui, $$Capteurs sur 6 directions pour une sécurité accrue.$$
Phantom 4 RTK, Portée de communication, 7, $$Communication stable avec la station de commande.$$
Phantom 4 RTK, Système de navigation, GPS + GLONASS, $$Pour une précision de positionnement maximale.$$
Phantom 4 RTK, Divers, Plusiuers modes de vol dont Waypoint, $$Adapté pour diverses applications de cartographie.$$
Phantom 4 RTK, Capacité stockage, 128, $$Capacité de stockage suffisante pour des sessions de cartographie prolongées.$$
Vector, Autonomie d'opération, 40, $$Optimisé pour des opérations prolongées.$$
Vector, Précision de positionnement, 1, $$Avec technologie RTK en option.$$
Vector, Capteurs, Types de caméra multiples, $$Options pour la thermographie, le zoom optique et d'autres capteurs spécifiques.$$
Vector, Vitesse maximum, 25, $$Adapté pour une couverture rapide de grandes zones.$$
Vector, Poids, 2, $$Selon la configuration et les équipements.$$
Vector, Système anticollision, Oui, $$Capteurs sur plusieurs directions pour une sécurité renforcée.$$
Vector, Portée de communication, 10, $$Communication fiable avec la station de commande.$$
Vector, Système de navigation, GPS + GLONASS, $$Précision élevée pour des applications professionnelles.$$
Vector, Divers, Modes de vol multiples, $$Incluant le vol stationnaire, le waypoint et la reconnaissance automatique.$$
Anafi Thermal, Autonomie d'opération, 26, $$Optimisé pour des missions de surveillance et d'inspection.$$
Anafi Thermal, Capteurs, Caméras : Double capteur 4K HDR et thermographie, $$Capture simultanée d'images visuelles et thermiques.$$
Anafi Thermal, Divers, Plage de température détectable : -10°C à +400°C, $$Étendue pour la détection thermique dans diverses applications.$$
Anafi Thermal, Poids, 0.315, $$Conception légère pour une portabilité maximale.$$
Anafi Thermal, Vitesse maximum, 15, $$Adapté pour une couverture rapide de zones d'intérêt.$$
Anafi Thermal, Système de navigation, GPS + GLONASS, $$Pour une précision de positionnement élevée.$$
Anafi Thermal, Résistance au vent, 14, $$Peut opérer dans des conditions venteuses.$$
Anafi Thermal, Capacité stockage, 16, $$Extensible jusqu'à 128 GB.$$
Anafi Thermal, Divers, Modes de vol ultiples, $$Incluant le vol stationnaire, le waypoint et la capture automatisée.$$
PackBot 510, Type, Robot terrestre, $$Conçu pour les opérations de reconnaissance, de surveillance et d'assistance en zones dangereuses.$$
PackBot 510, Vitesse maximale, 9.3 km/h, $$Permet une réponse rapide sur le terrain.$$
PackBot 510, Poids, Environ 24 kg, $$Selon la configuration et les accessoires.$$
PackBot 510, Autonomie, Jusqu'à 4 heures, $$Batteries remplaçables pour des opérations prolongées.$$
PackBot 510, Capacité de charge, Jusqu'à 9 kg, $$Permet de transporter des équipements supplémentaires.$$
PackBot 510, Mode d'opération, Téléopéré, $$Piloté à distance à l'aide d'une console de commande.$$
PackBot 510, Système de vision, Caméras multiples, $$Incluant des caméras jour/nuit et des caméras thermiques pour divers scénarios.$$
PackBot 510, Bras manipulateur, Oui, $$Bras extensible pour la manipulation d'objets, l'inspection et d'autres tâches.$$
PackBot 510, Résistance à l'eau, Étanche, $$Peut opérer sous la pluie ou traverser des flaques d'eau.$$
PackBot 510, Système de navigation, GPS intégré, $$Pour le suivi et la planification des itinéraires.$$
PowerEgg X, Divers, Drone multifonctionnel, $$Mode main, caméra AI stationnaire et drone.$$
PowerEgg X, Résolution caméra, 4K/60fps, $$Capture également des photos de 12MP.$$
PowerEgg X, Autonomie d'opération, 30, $$Sur une seule charge.$$
PowerEgg X, Divers, Étanchéité avec kit d'accessoires, $$Permet des vols sous la pluie et des décollages/atterrissages sur l'eau.$$
PowerEgg X, Divers, Fonctionnalités AI et suivi automatique de sujet, $$Garde les sujets centrés dans le cadre.$$
PowerEgg X, Distance de transmission, 6, $$Portée maximale de contrôle.$$
PowerEgg X, Divers, Design audacieuse en forme d'oeuf, $$Conception compacte et portable.$$
PowerEgg X, Résistance au vent, 19.55, $$Assure la stabilité par temps venteux.$$
PowerEgg X, Divers, Synchronisation vocale, $$Synchronise n'importe quelle source sonore sans fil en temps réel.$$



